Channel,Name,Gender,Ethnicity,Role
WAVY,Marielena Balouris,F,White,Anchor
WAVY,Katie Collet,F,White,Anchor
WAVY,Lex Grey,F,White,Anchor
WAVY,Stephanie Hudson,F,White,Anchor
WAVY,Kayla Gaskins,F,White,Reporter
WAVY,Madison Glassman,F,White,Reporter
WAVY,madison pearman,F,White,Reporter
WAVY,michelle wolf,F,White,Reporter
WAVY,Casey Lehecka,F,White,Weather
WTKR,Erica Greenway,F,White,Anchor
WTKR,April Loveland,F,White,Weather
WTKR,Maddie Kirker,F,White,Weather
WTKR,Beverly Kidd,F,White,Anchor
WTKR,Megan Plain,F,White,Sports
WTKR,Margaret Kavanaugh,F,White,Reporter
WTKR,Erin Miller,F,White,Reporter
WTKR,Chelsea Donovan,F,White,Reporter
WTKR,Antoinette DelBel,F,White,Reporter
WTKR,Angela Bohon,F,White,Reporter
WTKR,Penny Kmitt,F,White,Reporter
Channel 13,Allison Bazzle,F,White,Reporter
Channel 13,Sarah Hammond,F,White,Reporter
Channel 13,Bethany Reese,F,White,Traffic
Channel 13,Anne Sparaco ,F,White,Other
Channel 13,Ali Weatherton,F,White,Other
Channel 13,Payton Domschke,F,White,Weather
Channel 13,Savannah Haudahl,F,White,Other
WTKR,Cheryl Nelson,F,White,Weather
WAVY,Tom Schaad,M,White,Anchor
WAVY,Andy Fox,M,White,Reporter
WAVY,Chris Horne,M,White,Reporter
WAVY,Jason Marks,M,White,Reporter
WAVY,Brett Hall,M,White,Reporter
WAVY,Jon Dowding,M,White,Reporter
WAVY,Don Slater,M,White,Weather
WAVY,Jeremy Wheeler,M,White,Weather
WAVY,Brian Parsons,M,White,Sports
WAVY,Bruce Rader,M,White,Sports
WAVY,Nathan Epstein,M,White,Sports
WAVY,Chris Reckling,M,White,Sports
WAVY,Scott Abbott,M,White,Other
WTKR,Blaine Stewart,M,White,Anchor
WTKR,Ted Noah,M,White,Traffic
WTKR,Myles Henderson,M,White,Weather
WTKR,Patrick Rockey,M,White,Weather
WTKR,Todd Corillo,M,White,Anchor
WTKR,Zak Dahlheimer,M,White,Reporter
WTKR,Marc Davis,M,White,Sports
WTKR,Anthony Sabella,M,White,Reporter
WTKR,Brendan Ponton,M,White,Reporter
Channel 13,David Alan,M,White,Anchor
Channel 13,Brian Farrell,M,White,Anchor
Channel 13,Mike Gooding,M,White,Reporter
Channel 13,Dan Kennedy,M,White,Other
Channel 13,Philip Townsend,M,White,Anchor
Channel 13,Evan Watson,M,White,Other
Channel 13,Jeff Lawson,M,White,Weather
Channel 13,Craig Moeller,M,White,Weather
Channel 13,Evan Stewart,M,White,Weather
Channel 13,Scott Cash,M,White,Sports
Channel 13,Connor Rhiel,M,White,Sports
Channel 13,Chris Collette,M,White,Other
Channel 13,Doug Wieder,M,White,Other
WTKR,Kristy Steward,F,Other,Weather
WAVY,Chelsey Khan,F,Latino,Sports
Channel 13,Angelo Vargas,M,Latino,Reporter
WAVY,Anita Blanton,F,Black,Anchor
WAVY,Regina Mobley,F,Black,Anchor
WAVY,Kara Dixon,F,Black,Reporter
WAVY,Aesia Toliver,F,Black,Reporter
WAVY,Kiahnna Patterson,F,Black,Reporter
WTKR,Jessica Larche,F,Black,Anchor
WTKR,Barabara Ciara,F,Black,Reporter
WTKR,Leondra Head,F,Black,Reporter
WTKR,April Woodward,F,Black,Reporter
Channel 13,Nicole Livas,F,Black,Other
Channel 13,Janet Roach,F,Black,Anchor
Channel 13,Ashley Smith,F,Black,Anchor
Channel 13,Dana Smith,F,Black,Anchor
Channel 13,Rachael Peart,F,Black,Weather
Channel 13,Tiaira Shoultz,F,Black,Other
WAVY,Don Roberts,M,Black,Anchor
WAVY,Jeff Edmondson,M,Black,Weather
WAVY,Steven Fundaro,M,Black,Weather
WAVY,Craig Loper,M,Black,Sports
WTKR,Kurt Williams,M,Black,Anchor
Channel 13,Eugene Daniel,M,Black,Other
Channel 13,Brian Smith,M,Black,Sports
Channel 13,Angelique Arintok,F,Asian,Reporter
Channel 13,Alex Littlehales,M,Asian,Other