Station Number,Name,Format,Community of License,State,Owner
91.7,WBKU,Christian Programming,Ahoskie,NC,American Family Association
99.7,WYFI,religious,Norfolk,VA,Bible Broadcasting Network
103.7,WRPC-LP,christian contemporary,Hampton,VA,calvary reformed presbyterian church
104.9,WFMZ,classic hits,Hertford,NC,CapSan Media
88.7,WFOS,various/classical,Chesapeake,VA,Chesapeake Public School System
92.1,WKSA,Christian,Moyock,NC,Clear Channel Communications
102.9,WOWI,urban contemporary,Norfolk,VA,Clear Channel Communications
105.3,WNOH,Mainstream Contemporary Hit Radio,Windsor,VA,Clear Channel Communications
107.7,WMOV,Rhythmic Adult Contemporary,Norfolk,VA,Clear Channel Communications
100.9,WFMI,contemporary & traditional gospel,Southern Shores ,NC,communications systems
91.5,WYCS,religious,Yorktown,VA,Creative Eudcational Media Corp Inc 
107.9,WBQK,classical,West Point,VA,Davis Media
89.1,WWIP,Adult Contemporary Christian,Cheriton,VA,Delmarva Educational Association
96.7,WKJX,urban contemporary,Elizabeth City,NC,east carolina radio inc
105.7,WRSF,Mainstream Country,Columbia,NC,east carolina radio inc
90.7,WZLV,christian adult contemporary,Cape Charles,VA,Educational Media Foundation
93.3,W227BR,christian adult contemporary,Portsmouth ,VA,Educational Media Foundation
97.7,WGTI,christian contemporary,Winfall ,NC,Educational Media Foundation
89.9,WRVS,urban/variety,Elizabeth City,NC,Elizabeth City State University
94.9,WPTE,modern adult contemporary,Virginia Beach,VA,Entercom
95.7,WVKL,urban adult contemporary,Norfolk,VA,entercom
101.3,WWDE-FM,adult contemporary,Hampton,VA,entercom
104.5,WNVZ,rhythmic contemporary hit radio,Norfolk,VA,entercom
101.7,WLQM,country,Franklin ,VA,franklin broadcasting
89.5,WHRV,new/public affairs/npr,Norfolk,VA,Hampton Roads Educational Telecommunications Association
90.3,WHRO-FM,classical,Norfolk,VA,Hampton Roads Educational Telecommunications Association
99.3,W257BV,big band/ nostalgia/old time radio,Virginia Beach,VA,Hampton Roads Educational Telecommunications Association
88.1,WHOV,smooth jazz/gospel/variety,Hampton,VA,Hampton University
88.3,WVRL,christian contemporary/preaching,Elizabeth City,NC,Liberty University
96.9,W245BB,christian contemporary/preaching,Lynchburg,VA,Liberty University
98.3,W252CB,christian contemporaty/preaching,Virginia Beach,VA,Liberty University
107.3,W249BH,christian contemporary/preaching,suffolk,VA,Liberty University
92.3,WTYD,album adult alternative,Deltaville,VA,local voice media
92.9,WVBW,60s-80s hits,Suffolk,VA,Max Media
94.1,WVSP-FM,sports,Yorktown,VA,Max Media
97.3,WGH-FM,country,Newport News,VA,Max Media
100.5,WVHT,country,Norfolk,VA,max Media
104.1,WCXL,hot adult contemporary,Kill Devil Hills,NC,max Media
91.1,WNSB,urban/variety,Norfolk,VA,Norfolk State University
100.1,W262CN,christian contemporary,Williamsburg,VA,positive alternative radio
102.3,W271-AD,christian contemporary,Smithfield,VA,positive alternative radio
102.1,WXTG-FM,album adult alternative,Virginia Beach,VA,red zebra broadcasting
98.7,WNOR,active rock,Norfolk,VA,Saga Communications
106.9,WAFX,Classic Rock,Suffolk,VA,saga Communications
93.7,WNOB,adult hits,Chesapeake,VA,Sinclair Communications
96.1,WROX-FM,alternative/modern AC,Exmore,VA,sinclair Communications
106.1,WUSH,Country,Poquoson,VA,sinclair Communications
90.9,WCWM,college/variety,Williamsburg,VA,the college of william and mary
102.5,WRRW-LP,adult album alternative,Williamsburg,VA,the popular assembly of new horizons 3000 and his successors
88.5,WJLZ,Christian contemporary hit radio,Virginia Beach,VA,Virginia Beach Educational Broadcasting Foundation Inc
97.9,W250AE,christian CHR,Portsmouth ,VA,Virginia Beach Educational Broadcasting Foundation Inc
103.9,W280CX,christian chr,Norfolk,VA,Virginia Beach Educational Broadcasting Foundation Inc
99.1,WXGM,adult contemporary,Gloucester,VA,WXGM Inc